Pod Memory Report

Namespace,Pod Name,Memory Request,Memory Limit,Avg Memory Usage,Suggested Request,90%tile Memory Usage,90%tile Memory Usage,Max Memory Usage
monitoring,prometheus-thanos-querier-5c4cf5ffc7-p9tbn,21474836480,inf,4941316096.0,4941316096.0,4941316096.0,4941316096.0,4941316096
monitoring,prometheus-thanos-ruler-0,0,inf,68837376.0,68837376.0,68837376.0,68837376.0,68837376
kube-system,aws-node-csj9g,0,inf,376413133.6393443,376819705.6761052,376905728.0,377147392.0,377147392
kube-system,ebs-csi-node-tz5mq,1610612736,inf,53323809.57377049,53419462.71540569,53428224.0,53608448.0,53608448
kube-system,kube-proxy-mkl2h,0,inf,50403697.31147541,50757067.13665368,51159040.0,51159040.0,51159040
lacework,lacework-agent-xlj4j,3040870400,inf,1223427659.5409837,1234530986.1406577,1262555136.0,1262555136.0,1262555136
monitoring,filebeat-6kx4r,3600000000,inf,341792130.09836066,345575581.6621634,345247744.0,347475968.0,347475968
monitoring,prometheus-node-exporter-68bz9,125829120,inf,40147179.016393445,40172775.18869745,40189952.0,40189952.0,40189952
spr-apps,autocomplete-gen-deployment-5f7b49b869-75hn5,44023414784,inf,23076499120.262295,23076766241.329735,23077138432.0,23077138432.0,23077138432
kube-system,aws-node-zgc2h,0,inf,654353659.8032787,654544492.0007443,654610432.0,654684160.0,654684160
kube-system,ebs-csi-node-9s4nz,1610612736,inf,149700406.55737704,149961242.1467586,150036480.0,150298624.0,150298624
kube-system,kube-proxy-qf5b2,0,inf,188313600.0,188703196.85588327,188948480.0,189145088.0,189145088
lacework,lacework-agent-f2pts,3040870400,inf,1380397123.147541,1382819789.3072684,1385783296.0,1385783296.0,1385783296
monitoring,filebeat-nfpqb,3600000000,inf,604224327.3442622,620162556.6691031,647778304.0,647778304.0,647778304
kube-system,aws-node-t4vhs,0,inf,421268899.6721311,421795757.2876604,421937152.0,421965824.0,421965824
kube-system,ebs-csi-node-jxgb9,1610612736,inf,148707428.72131148,149049196.17840046,149504000.0,149504000.0,149504000
kube-system,kube-proxy-cn9lk,0,inf,180906957.63934427,182625672.44526416,186380288.0,186475315.2,186617856
lacework,lacework-agent-brk62,3040870400,inf,1297947731.9344263,1302484640.8013604,1299259392.0,1314816000.0,1314816000
monitoring,filebeat-qk8r6,3600000000,inf,381591350.55737704,385304412.7327615,388448256.0,388448256.0,388448256
kube-system,aws-node-vb4ds,0,inf,495237623.60655737,496519565.2029659,497508352.0,498716672.0,498716672
kube-system,ebs-csi-node-wvcmx,1610612736,inf,149856994.62295082,150183913.8534788,150409216.0,150409216.0,150409216
kube-system,kube-proxy-fplml,0,inf,192079234.09836066,192573832.32302365,192905216.0,192929792.0,192929792
lacework,lacework-agent-xpb9r,3040870400,inf,1268784950.557377,1271503571.1563342,1273192448.0,1275302707.2,1278468096
monitoring,filebeat-gs95x,3600000000,inf,302842594.6229508,312335165.0558431,319954944.0,320708608.0,320708608
kube-system,aws-node-pbv4q,0,inf,532883892.4590164,533517078.6301899,534204416.0,534204416.0,534204416
kube-system,ebs-csi-node-rcx9f,1610612736,inf,145156801.04918033,145481467.48734635,145653760.0,145899520.0,145899520
kube-system,kube-proxy-857g8,0,inf,160354102.55737704,160836977.02281365,161079296.0,161153024.0,161153024
lacework,lacework-agent-n4m68,3040870400,inf,1281358864.7868853,1286626183.755734,1295478784.0,1295478784.0,1295478784
monitoring,filebeat-dbhwr,3600000000,inf,318828745.44262296,344365066.8594482,354050048.0,358244352.0,358244352
kube-system,aws-node-7nsll,0,inf,514503931.8032787,515010344.70804447,515731456.0,515731456.0,515731456
kube-system,ebs-csi-node-b7zxb,1610612736,inf,145442312.39344263,145877311.42711616,146165760.0,146321408.0,146321408
kube-system,kube-proxy-bq4xp,0,inf,158311004.32786885,158818165.01843718,158924800.0,159916032.0,159916032
lacework,lacework-agent-tvtgg,3040870400,inf,1304773480.918033,1314840756.8434057,1320075264.0,1320075264.0,1320075264
monitoring,filebeat-jvkq7,3600000000,inf,403540941.6393443,416946106.8041064,422555648.0,425766912.0,425766912
kube-system,aws-node-2n942,0,inf,576941542.8196721,577358000.468456,577540096.0,577540096.0,577540096
kube-system,ebs-csi-node-jmkn7,1610612736,inf,150990848.0,151438881.25438485,151838720.0,151838720.0,151838720
kube-system,kube-proxy-7qvdw,0,inf,196532929.04918033,197121024.27985322,197902336.0,197902336.0,197902336
monitoring,filebeat-bwf58,3600000000,inf,760454295.0819672,789785302.4319737,851161088.0,851161088.0,851161088
kube-system,aws-node-m98rc,0,inf,542897940.9836066,543584700.0637219,544202752.0,544260096.0,544260096
kube-system,ebs-csi-node-lwt86,1610612736,inf,146258692.19672132,146752243.22379723,147562496.0,147562496.0,147562496
kube-system,kube-proxy-67s68,0,inf,167035618.62295082,167693615.03019488,168337408.0,168337408.0,168337408
monitoring,filebeat-hv6mw,3600000000,inf,312672457.44262296,337834895.46401715,360030208.0,360030208.0,360030208
kube-system,ebs-csi-node-xsrwx,1610612736,inf,142172025.70491803,142585102.08738464,142778368.0,142778368.0,142778368
kube-system,aws-node-8p2dl,0,inf,611595918.6885246,612358721.5302955,612712448.0,613521817.6,614735872
kube-system,ebs-csi-node-jjqx8,1610612736,inf,148894233.18032786,149448206.3789014,149962752.0,149962752.0,149962752
kube-system,kube-proxy-n9c72,0,inf,183773553.3114754,184599314.55657834,185917440.0,185917440.0,185917440
lacework,lacework-agent-x2mns,3040870400,inf,1336438448.262295,1349567095.851684,1364905984.0,1366913024.0,1366913024
monitoring,filebeat-hxnwj,3600000000,inf,324406490.2295082,326687851.0415618,328151040.0,328151040.0,328151040
kube-system,ebs-csi-node-d85h9,1610612736,inf,145185875.93442622,145604763.04485893,146337792.0,146337792.0,146337792
kube-system,aws-node-7qrp7,0,inf,431375208.91803277,432378555.3426155,433205248.0,433229824.0,433266688
kube-system,ebs-csi-node-b9vmx,1610612736,inf,142074930.36065573,142495225.9360997,142991360.0,142991360.0,142991360
kube-system,kube-proxy-fvfj9,0,inf,142413018.2295082,142928768.34817913,143478784.0,143724544.0,143724544
lacework,lacework-agent-b2nc6,3040870400,inf,615706355.409836,618264069.4622548,622354432.0,622354432.0,622354432
monitoring,filebeat-zk66z,3600000000,inf,630474382.6885246,668567375.5845101,675999744.0,675999744.0,675999744
kube-system,aws-node-g4bkp,0,inf,546983264.5245901,547652536.4607275,548253696.0,548253696.0,548253696
kube-system,ebs-csi-node-smctd,1610612736,inf,144009048.13114753,144396099.956753,144687104.0,144814899.2,145006592
kube-system,kube-proxy-t9njb,0,inf,166834847.47540984,167320426.03266925,167649280.0,168222720.0,168222720
lacework,lacework-agent-7bhqq,3040870400,inf,1338277955.147541,1346376532.969996,1356435456.0,1356435456.0,1356435456
